symbol,ts,last_update_id,bp1,bs1,bp2,bs2,bp3,bs3,bp4,bs4,bp5,bs5,bp6,bs6,bp7,bs7,bp8,bs8,bp9,bs9,bp10,bs10,bp11,bs11,bp12,bs12,bp13,bs13,bp14,bs14,bp15,bs15,bp16,bs16,bp17,bs17,bp18,bs18,bp19,bs19,bp20,bs20,ap1,as1,ap2,as2,ap3,as3,ap4,as4,ap5,as5,ap6,as6,ap7,as7,ap8,as8,ap9,as9,ap10,as10,ap11,as11,ap12,as12,ap13,as13,ap14,as14,ap15,as15,ap16,as16,ap17,as17,ap18,as18,ap19,as19,ap20,as20
BTCUSDT,1637366400199,951870263100,58072.68,1.964,58072.61,0.113,58072.42,0.682,58069.52,0.006,58069.51,1.596,58069.5,0.004,58068.34,0.198,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58072.69,3.166,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.45,0.042,58075.49,0.094,58075.6,0.001,58075.73,0.5,58075.74,0.419,58075.75,0.5,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.28,0.301,58080.31,0.086,58080.32,0.779,58080.33,2,58081.14,0.071
BTCUSDT,1637366400957,951870525026,58072.68,1.964,58072.61,0.113,58072.42,0.682,58069.52,0.006,58069.51,1.596,58069.5,0.004,58068.34,0.198,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58072.69,3.166,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.45,0.042,58075.49,0.094,58075.6,0.001,58075.73,0.5,58075.74,0.419,58075.75,0.5,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.28,0.301,58080.31,0.086,58080.32,0.779,58080.33,2,58081.14,0.071
BTCUSDT,1637366401303,951870702860,58072.68,1.964,58072.61,0.113,58072.42,0.682,58069.52,0.006,58069.51,1.596,58069.5,0.004,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58063.22,0.086,58072.69,3.166,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.49,0.094,58075.6,0.001,58075.73,0.5,58075.74,0.419,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.26,0.042,58080.28,0.301,58080.31,0.086,58080.32,0.779,58080.33,2,58081.14,0.071,58082.5,0.252
BTCUSDT,1637366401675,951870910088,58072.68,1.964,58072.61,0.113,58072.42,0.682,58069.52,0.006,58069.51,1.596,58069.5,0.004,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.02,0.198,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58072.69,3.166,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.49,0.094,58075.6,0.001,58075.73,0.5,58075.74,0.419,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.26,0.042,58080.28,0.301,58080.31,0.086,58080.32,0.779,58080.33,2,58081.14,0.071,58082.5,0.252
BTCUSDT,1637366402003,951871074402,58072.68,1.829,58072.61,0.113,58072.42,0.682,58069.52,0.006,58069.51,1.596,58069.5,0.004,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.02,0.221,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58072.69,3.166,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.49,0.094,58075.6,0.001,58075.73,0.5,58075.74,0.419,58077.42,0.2,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.26,0.042,58080.28,0.301,58080.32,0.779,58080.33,2,58081.14,0.071,58082.5,0.252
BTCUSDT,1637366402183,951871163951,58072.68,1.826,58072.61,0.113,58072.42,0.682,58069.51,1.584,58069.5,0.004,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.02,0.221,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58063.22,0.086,58072.69,3.15,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.49,0.094,58075.6,0.001,58075.73,0.5,58075.74,0.419,58077.42,0.2,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.15,0.514,58080.26,0.042,58080.28,0.301,58080.32,0.779,58080.33,2,58081.14,0.071
BTCUSDT,1637366402648,951871374979,58072.68,1.826,58072.61,0.113,58072.42,0.682,58069.51,1.584,58069.5,0.004,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.02,0.221,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58063.22,0.086,58072.69,3.15,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.49,0.094,58075.6,0.001,58075.73,0.5,58075.74,0.419,58077.42,0.2,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.15,0.514,58080.25,0.004,58080.26,0.042,58080.28,0.301,58080.32,0.779,58080.33,2
BTCUSDT,1637366402833,951871458888,58072.68,1.826,58072.61,0.113,58072.42,0.682,58069.51,1.584,58069.5,0.004,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.02,0.221,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58063.22,0.086,58072.69,3.15,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.49,0.094,58075.6,0.001,58075.73,0.5,58075.74,0.419,58077.42,0.2,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.15,0.514,58080.25,0.004,58080.26,0.042,58080.28,0.301,58080.32,0.779,58080.33,2
BTCUSDT,1637366403231,951871630152,58072.68,1.826,58072.61,0.113,58072.42,0.682,58069.51,1.584,58069.5,0.004,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.02,0.221,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58063.22,0.086,58072.69,3.15,58074.62,0.001,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.6,0.001,58075.73,0.5,58075.74,0.419,58077.42,0.2,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.15,0.514,58080.25,0.004,58080.26,0.042,58080.28,0.301,58080.32,0.779,58080.33,2,58081.14,0.071
BTCUSDT,1637366403447,951871716996,58072.68,1.826,58072.61,0.113,58072.42,0.682,58069.51,1.584,58069.5,0.004,58068.33,1,58067.53,0.015,58066.84,0.042,58066.12,0.127,58066.02,0.221,58066.01,0.355,58066,0.996,58065.91,0.442,58064.87,0.104,58064.78,0.213,58063.7,0.06,58063.69,0.071,58063.62,0.004,58063.39,0.453,58063.22,0.086,58072.69,3.15,58074.63,0.06,58074.9,0.008,58075.44,0.072,58075.6,0.001,58075.73,0.5,58075.74,0.419,58077.42,0.2,58077.43,0.2,58077.98,0.008,58078,0.127,58079.35,0.172,58080.15,0.514,58080.25,0.004,58080.26,0.042,58080.28,0.301,58080.32,0.779,58080.33,2,58081.14,0.071,58082.5,0.252
